gw,deadline_utc,deadline_uk,deadline_nl,phase,finished
1,2026-08-21T17:30:00Z,Fri 21 Aug 2026 18:30 BST,Fri 21 Aug 2026 19:30 CEST,1 Evidence,True
2,2026-08-28T17:30:00Z,Fri 28 Aug 2026 18:30 BST,Fri 28 Aug 2026 19:30 CEST,1 Evidence,False
3,2026-09-04T17:30:00Z,Fri 04 Sep 2026 18:30 BST,Fri 04 Sep 2026 19:30 CEST,1 Evidence,False
4,2026-09-12T12:30:00Z,Sat 12 Sep 2026 13:30 BST,Sat 12 Sep 2026 14:30 CEST,1 Evidence,False
5,2026-09-18T17:30:00Z,Fri 18 Sep 2026 18:30 BST,Fri 18 Sep 2026 19:30 CEST,1 Evidence,False
6,2026-10-10T10:00:00Z,Sat 10 Oct 2026 11:00 BST,Sat 10 Oct 2026 12:00 CEST,2 Reset & Structure,False
7,2026-10-17T10:00:00Z,Sat 17 Oct 2026 11:00 BST,Sat 17 Oct 2026 12:00 CEST,2 Reset & Structure,False
8,2026-10-23T17:30:00Z,Fri 23 Oct 2026 18:30 BST,Fri 23 Oct 2026 19:30 CEST,2 Reset & Structure,False
9,2026-10-31T11:00:00Z,Sat 31 Oct 2026 11:00 GMT,Sat 31 Oct 2026 12:00 CET,2 Reset & Structure,False
10,2026-11-07T13:30:00Z,Sat 07 Nov 2026 13:30 GMT,Sat 07 Nov 2026 14:30 CET,2 Reset & Structure,False
11,2026-11-21T13:30:00Z,Sat 21 Nov 2026 13:30 GMT,Sat 21 Nov 2026 14:30 CET,3 Congestion & chip cliff,False
12,2026-11-28T13:30:00Z,Sat 28 Nov 2026 13:30 GMT,Sat 28 Nov 2026 14:30 CET,3 Congestion & chip cliff,False
13,2026-12-02T18:30:00Z,Wed 02 Dec 2026 18:30 GMT,Wed 02 Dec 2026 19:30 CET,3 Congestion & chip cliff,False
14,2026-12-05T13:30:00Z,Sat 05 Dec 2026 13:30 GMT,Sat 05 Dec 2026 14:30 CET,3 Congestion & chip cliff,False
15,2026-12-12T13:30:00Z,Sat 12 Dec 2026 13:30 GMT,Sat 12 Dec 2026 14:30 CET,3 Congestion & chip cliff,False
16,2026-12-19T13:30:00Z,Sat 19 Dec 2026 13:30 GMT,Sat 19 Dec 2026 14:30 CET,3 Congestion & chip cliff,False
17,2026-12-26T13:30:00Z,Sat 26 Dec 2026 13:30 GMT,Sat 26 Dec 2026 14:30 CET,3 Congestion & chip cliff,False
18,2026-12-30T18:30:00Z,Wed 30 Dec 2026 18:30 GMT,Wed 30 Dec 2026 19:30 CET,3 Congestion & chip cliff,False
19,2027-01-02T13:30:00Z,Sat 02 Jan 2027 13:30 GMT,Sat 02 Jan 2027 14:30 CET,3 Congestion & chip cliff,False
20,2027-01-06T18:30:00Z,Wed 06 Jan 2027 18:30 GMT,Wed 06 Jan 2027 19:30 CET,4 Winter rebuild,False
21,2027-01-16T13:30:00Z,Sat 16 Jan 2027 13:30 GMT,Sat 16 Jan 2027 14:30 CET,4 Winter rebuild,False
22,2027-01-23T13:30:00Z,Sat 23 Jan 2027 13:30 GMT,Sat 23 Jan 2027 14:30 CET,4 Winter rebuild,False
23,2027-01-30T13:30:00Z,Sat 30 Jan 2027 13:30 GMT,Sat 30 Jan 2027 14:30 CET,4 Winter rebuild,False
24,2027-02-06T13:30:00Z,Sat 06 Feb 2027 13:30 GMT,Sat 06 Feb 2027 14:30 CET,4 Winter rebuild,False
25,2027-02-10T18:30:00Z,Wed 10 Feb 2027 18:30 GMT,Wed 10 Feb 2027 19:30 CET,4 Winter rebuild,False
26,2027-02-20T13:30:00Z,Sat 20 Feb 2027 13:30 GMT,Sat 20 Feb 2027 14:30 CET,4 Winter rebuild,False
27,2027-02-27T13:30:00Z,Sat 27 Feb 2027 13:30 GMT,Sat 27 Feb 2027 14:30 CET,5 Spring block,False
28,2027-03-03T18:30:00Z,Wed 03 Mar 2027 18:30 GMT,Wed 03 Mar 2027 19:30 CET,5 Spring block,False
29,2027-03-13T13:30:00Z,Sat 13 Mar 2027 13:30 GMT,Sat 13 Mar 2027 14:30 CET,5 Spring block,False
30,2027-03-20T13:30:00Z,Sat 20 Mar 2027 13:30 GMT,Sat 20 Mar 2027 14:30 CET,5 Spring block,False
31,2027-04-10T12:30:00Z,Sat 10 Apr 2027 13:30 BST,Sat 10 Apr 2027 14:30 CEST,5 Spring block,False
32,2027-04-17T12:30:00Z,Sat 17 Apr 2027 13:30 BST,Sat 17 Apr 2027 14:30 CEST,5 Spring block,False
33,2027-04-24T12:30:00Z,Sat 24 Apr 2027 13:30 BST,Sat 24 Apr 2027 14:30 CEST,5 Spring block,False
34,2027-05-01T12:30:00Z,Sat 01 May 2027 13:30 BST,Sat 01 May 2027 14:30 CEST,6 Endgame,False
35,2027-05-08T12:30:00Z,Sat 08 May 2027 13:30 BST,Sat 08 May 2027 14:30 CEST,6 Endgame,False
36,2027-05-15T12:30:00Z,Sat 15 May 2027 13:30 BST,Sat 15 May 2027 14:30 CEST,6 Endgame,False
37,2027-05-23T12:30:00Z,Sun 23 May 2027 13:30 BST,Sun 23 May 2027 14:30 CEST,6 Endgame,False
38,2027-05-30T13:30:00Z,Sun 30 May 2027 14:30 BST,Sun 30 May 2027 15:30 CEST,6 Endgame,False
